,NVRO
Price/Earnings (TTM),
Price/Sales (TTM),3.977
Price/Book (MRQ),4.83724
Price/Cash Flow (TTM),
5yr Low,34.7
5yr High,188.14
5yr Avg Return,0.17858333333333337
EPS Growth 5yr,
Revenue Growth 5yr,0.1110718
Dividend Growth 5yr,
Short Int Current Month,3262242.0
Short Int Prev Month,3334732.0
Short Int Pct of Float,0.0943281
Days to Cover,4.50388
Float,34.57526
Shares Outstanding,35.43009
Institutions Holding Shares,238.0
% Held by Institutions,0.968353
FCF Growth 5yr,-0.5715818348847995
