,NVRO
% Above Low,0.2787
% Held by Institutions,0.9684
52-Wk Range,['34.70 - 98.12']
Annual Dividend $,
Annual Dividend %,
Ask,50.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,36.12
Bid Size,100.0
Closing Price,44.37
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.37
Ex-dividend Date,No dividend
Historical Volatility,0.672
Last (size),17.0
Last (time),5:00p ET 11/25/22
Market Cap,1.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,44.37
Shares Outstanding,35.4M
Short Interest,0.0943
Today's Open,
Volume,88283.0
Volume 10-day Avg,380944.0
Volume Past Day,(Light)
