,EOG
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,0.8650472334682862
Growth 1yr High Est,0.6688963210702341
Growth 1yr Consensus Est,0.7669717772692601
Growth 2yr Low Est,0.33447730703805045
Growth 2yr High Est,0.5017828298737944
Growth 2yr Consensus Est,0.41813006845592243
Growth 5yr Low Est,0.3657858690153933
Growth 5yr High Est,0.37905330363841494
Growth 5yr Consensus Est,0.3724195863269041
Growth 5yr Actual/Est,1.235691985860646
Growth 3yr Historic,1.0476082411839136
