,EOG
% Below High,0.0546
% Held by Institutions,0.8715
52-Wk Range,['80.67 - 150.88']
Annual Dividend $,3.3
Annual Dividend %,0.0231
Ask,152.11
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.5
Bid,142.2
Bid Size,500.0
Closing Price,142.64
Day Change $,-0.01
Day Change %,-0.0001
Day High,144.91
Day Low,142.44
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",12.73
Ex-dividend,2022-10-14 00:00:00
Ex-dividend Date,10/14/22
Historical Volatility,0.45
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,83.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.2
Prev Close,142.65
Shares Outstanding,587.4M
Short Interest,0.0126
Today's Open,142.92
Volume,1430753.0
Volume 10-day Avg,2958472.0
Volume Past Day,(Light)
