,APOG
Price/Earnings (TTM),20.14092
Price/Sales (TTM),0.78731
Price/Book (MRQ),3.06994
Price/Cash Flow (TTM),10.89155
5yr Low,13.77
5yr High,51.33
5yr Avg Return,0.03576666666666666
EPS Growth 5yr,-0.45882219999999996
Revenue Growth 5yr,0.0334726
Dividend Growth 5yr,0.0974919
Short Int Current Month,619966.0
Short Int Prev Month,675526.0
Short Int Pct of Float,0.0284803
Days to Cover,8.15155
Float,21.80057
Shares Outstanding,22.20807
Institutions Holding Shares,258.0
% Held by Institutions,0.907868
FCF Growth 5yr,-0.6814600829893273
