,APOG
Next Earnings Announcement,2022-12-20 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.6709956709956708
Growth 1yr High Est,0.6307053941908713
Growth 1yr Consensus Est,0.6508505325932711
Growth 2yr Low Est,0.30700042617141055
Growth 2yr High Est,0.3306198726679547
Growth 2yr Consensus Est,0.3188101494196826
Growth 5yr Low Est,0.20466695078094035
Growth 5yr High Est,0.2204132484453031
Growth 5yr Consensus Est,0.21254009961312173
Growth 5yr Actual/Est,0.15357933495979037
Growth 3yr Historic,0.010434173669467806
