,APOG
% Below High,0.0225
% Held by Institutions,0.9079
52-Wk Range,['35.96 - 50.45']
Annual Dividend $,0.88
Annual Dividend %,0.0178
Ask,49.37
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,1.1
Bid,40.5
Bid Size,1000.0
Closing Price,49.31
Day Change $,0.44
Day Change %,0.009000000000000001
Day High,49.65
Day Low,48.5
Dividend Pay Date,2022-11-09 00:00:00
"EPS (TTM, GAAP)",2.45
Ex-dividend,2022-10-24 00:00:00
Ex-dividend Date,10/24/22
Historical Volatility,0.385
Last (size),11.0
Last (time),12:59p ET 11/25/22
Market Cap,1.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.14
Prev Close,48.87
Shares Outstanding,22.2M
Short Interest,0.0285
Today's Open,48.91
Volume,29356.0
Volume 10-day Avg,68614.0
Volume Past Day,(Light)
