,NVEE
Price/Earnings (TTM),38.60475
Price/Sales (TTM),2.88334
Price/Book (MRQ),3.31923
Price/Cash Flow (TTM),22.18457
5yr Low,27.0
5yr High,154.97
5yr Avg Return,0.21405000000000002
EPS Growth 5yr,0.214651
Revenue Growth 5yr,0.2584416
Dividend Growth 5yr,
Short Int Current Month,352261.0
Short Int Prev Month,392630.0
Short Int Pct of Float,0.028421599999999998
Days to Cover,5.0742
Float,12.38171
Shares Outstanding,15.55998
Institutions Holding Shares,288.0
% Held by Institutions,0.6701220000000001
FCF Growth 5yr,0.013213854435172015
