,NVEE
% Below High,0.060700000000000004
% Held by Institutions,0.6701
52-Wk Range,['97.58 - 154.97']
Annual Dividend $,
Annual Dividend %,
Ask,152.99
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,135.91
Bid Size,100.0
Closing Price,145.56
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.77
Ex-dividend Date,No dividend
Historical Volatility,0.375
Last (size),16.0
Last (time),1:00p ET 11/25/22
Market Cap,2.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",38.6
Prev Close,145.56
Shares Outstanding,15.6M
Short Interest,0.028399999999999998
Today's Open,
Volume,18026.0
Volume 10-day Avg,60753.0
Volume Past Day,(Light)
