,SUMO
Next Earnings Announcement,2022-12-05 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.08771929824561409
Growth 2yr High Est,-0.16666666666666674
Growth 2yr Consensus Est,-0.03947368421052633
Growth 5yr Low Est,0.08771929824561409
Growth 5yr High Est,-0.16666666666666674
Growth 5yr Consensus Est,-0.03947368421052633
Growth 5yr Actual/Est,-0.051381432757162816
Growth 3yr Historic,-0.10447761194029852
