,SUMO
Price/Earnings (TTM),
Price/Sales (TTM),3.21049
Price/Book (MRQ),2.23566
Price/Cash Flow (TTM),
5yr Low,6.43
5yr High,46.37
5yr Avg Return,-0.30679999999999996
Short Int Current Month,4767813.0
Short Int Prev Month,5569003.0
Short Int Pct of Float,0.0426797
Days to Cover,5.6427
Float,113.7566
Shares Outstanding,118.5469
Institutions Holding Shares,222.0
% Held by Institutions,0.728546
FCF Growth 5yr,1.9420342571455367
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
