,SUMO
% Above Low,0.1393
% Held by Institutions,0.7284999999999999
52-Wk Range,['6.43 - 16.44']
Annual Dividend $,
Annual Dividend %,
Ask,7.33
Ask Size,1500.0
B/A Ratio,0.13333333333333333
B/A Size,200x1500
Beta,
Bid,7.32
Bid Size,200.0
Day Change $,-0.02
Day Change %,-0.0027
Day High,7.54
Day Low,7.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.19
Ex-dividend Date,No dividend
Historical Volatility,0.637
Last (size),100.0
Last (time),3:39p ET 11/28/22
Market Cap,868.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.34
Price,7.32
Shares Outstanding,118.5M
Short Interest,0.042699999999999995
Today's Open,7.29
Volume Past Day,(Average)
