,CMCSA
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,0.1166666666666667
Growth 1yr High Est,0.2500000000000002
Growth 1yr Consensus Est,0.18333333333333346
Growth 2yr Low Est,0.052363184079602
Growth 2yr High Est,0.13343373493975907
Growth 2yr Consensus Est,0.09289845950968054
Growth 5yr Low Est,0.07489635157545604
Growth 5yr High Est,0.08865797667513964
Growth 5yr Consensus Est,0.08177716412529784
Growth 5yr Actual/Est,0.05908890912503598
Growth 3yr Historic,0.017853426854198023
