,CMCSA
% Above Low,0.2557
% Held by Institutions,0.8245999999999999
52-Wk Range,['28.39 - 53.32']
Annual Dividend $,1.08
Annual Dividend %,0.030299999999999997
Ask,35.82
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.0
Bid,35.61
Bid Size,400.0
Closing Price,35.65
Day Change $,0.12
Day Change %,0.0034000000000000002
Day High,35.98
Day Low,35.49
Dividend Pay Date,2023-01-25 00:00:00
"EPS (TTM, GAAP)",1.15
Ex-dividend,2023-01-03 00:00:00
Ex-dividend Date,01/03/23
Historical Volatility,0.306
Last (size),3.0
Last (time),1:00p ET 11/25/22
Market Cap,154.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.04
Prev Close,35.53
Shares Outstanding,4.3B
Short Interest,0.0174
Today's Open,35.63
Volume,10810902.0
Volume 10-day Avg,22915859.0
Volume Past Day,(Light)
