,CMCSA
Price/Earnings (TTM),31.03562
Price/Sales (TTM),1.27158
Price/Book (MRQ),1.91952
Price/Cash Flow (TTM),8.12834
5yr Low,28.39
5yr High,61.8
5yr Avg Return,0.02388333333333334
EPS Growth 5yr,0.11314669999999999
Revenue Growth 5yr,0.0758853
Dividend Growth 5yr,0.1270092
Short Int Current Month,74357068.0
Short Int Prev Month,73600479.0
Short Int Pct of Float,0.0173736
Days to Cover,2.87084
Float,4279.985
Shares Outstanding,4323.409
Institutions Holding Shares,2679.0
% Held by Institutions,0.824649
FCF Growth 5yr,0.12384147536589378
