,PXD
Price/Earnings (TTM),9.06725
Price/Sales (TTM),2.43629
Price/Book (MRQ),2.63271
Price/Cash Flow (TTM),6.24117
5yr Low,48.62
5yr High,288.46
5yr Avg Return,0.12855
EPS Growth 5yr,
Revenue Growth 5yr,0.3848038
Dividend Growth 5yr,1.433695
Short Int Current Month,5769267.0
Short Int Prev Month,5941796.0
Short Int Pct of Float,0.0244442
Days to Cover,2.65874
Float,236.0665
Shares Outstanding,237.5987
Institutions Holding Shares,1477.0
% Held by Institutions,0.9028700000000001
FCF Growth 5yr,0.4948681723174225
