,PXD
% Below High,0.1452
% Held by Institutions,0.9029
52-Wk Range,['166.97 - 288.46']
Annual Dividend $,26.06
Annual Dividend %,0.1025
Ask,246.81
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.5
Bid,246.53
Bid Size,100.0
Day Change $,-7.56
Day Change %,-0.0297
Day High,249.02
Day Low,245.39
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",28.03
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.40299999999999997
Last (size),380.0
Last (time),11:58a ET 11/28/22
Market Cap,58.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.07
Prev Close,254.14
Price,246.58
Shares Outstanding,237.6M
Short Interest,0.024399999999999998
Today's Open,248.63
Volume Past Day,(Heavy Day)
