,PXD
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,1.7920978363123234
Growth 1yr High Est,1.8607954545454546
Growth 1yr Consensus Est,1.826446645428889
Growth 2yr Low Est,0.697935710608992
Growth 2yr High Est,0.8572845197255574
Growth 2yr Consensus Est,0.7776101151672747
Growth 5yr Low Est,0.4753842858993969
Growth 5yr High Est,0.611074692295211
Growth 5yr Consensus Est,0.543229489097304
Growth 5yr Actual/Est,1.4977938643002917
Growth 3yr Historic,1.1797259824676487
