,RKT
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-1.0571428571428572
Growth 1yr High Est,-1.0253164556962024
Growth 1yr Consensus Est,-1.0412296564195298
Growth 2yr Low Est,0.09642857142857164
Growth 2yr High Est,-3.095991561181435
Growth 2yr Consensus Est,-1.4997814948764316
Growth 5yr Low Est,0.09642857142857164
Growth 5yr High Est,-3.095991561181435
Growth 5yr Consensus Est,-1.4997814948764314
Growth 5yr Actual/Est,-0.9040556285243322
Growth 3yr Historic,-0.15004055150040554
