,RKT
% Above Low,0.2672
% Held by Institutions,0.6204999999999999
52-Wk Range,['5.97 - 16.65']
Annual Dividend $,
Annual Dividend %,
Ask,7.57
Ask Size,4600.0
B/A Ratio,0.1956521739130435
B/A Size,900x4600
Beta,
Bid,7.57
Bid Size,900.0
Day Change $,-0.165
Day Change %,-0.0213
Day High,7.75
Day Low,7.44
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.04
Ex-dividend Date,No dividend
Historical Volatility,0.5910000000000001
Last (size),281.0
Last (time),12:52p ET 11/28/22
Market Cap,921.3M
"P/E Ratio (TTM, GAAP)",7.4
Prev Close,7.73
Price,7.57
Shares Outstanding,121.8M
Short Interest,0.31829999999999997
Today's Open,7.66
Volume Past Day,(Light)
