,QGEN
% Below High,0.12359999999999999
% Held by Institutions,0.6779999999999999
52-Wk Range,['40.38 - 56.21']
Annual Dividend $,
Annual Dividend %,
Ask,49.29
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.4
Bid,49.22
Bid Size,100.0
Day Change $,0.29
Day Change %,0.0059
Day High,49.68
Day Low,49.21
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.01
Ex-dividend Date,No dividend
Historical Volatility,0.28500000000000003
Last (size),100.0
Last (time),12:05p ET 11/28/22
Market Cap,11.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.35
Prev Close,48.97
Price,49.26
Shares Outstanding,227.7M
Short Interest,0.025
Today's Open,49.5
Volume Past Day,(Light)
