,QGEN
Price/Earnings (TTM),24.35494
Price/Sales (TTM),5.00935
Price/Book (MRQ),3.35074
Price/Cash Flow (TTM),16.68285
5yr Low,25.04
5yr High,59.0
5yr Avg Return,0.09255000000000001
EPS Growth 5yr,0.4460653
Revenue Growth 5yr,0.10971080000000001
Dividend Growth 5yr,
Short Int Current Month,5681074.0
Short Int Prev Month,5190838.0
Short Int Pct of Float,0.0250368
Days to Cover,4.48093
Float,226.9086
Shares Outstanding,227.7
Institutions Holding Shares,634.0
% Held by Institutions,0.6780459999999999
FCF Growth 5yr,0.26488805603111265
