,BX
% Above Low,0.13140000000000002
% Held by Institutions,0.6086
52-Wk Range,['79.55 - 149.51']
Annual Dividend $,4.94
Annual Dividend %,0.054900000000000004
Ask,90.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.4
Bid,89.5
Bid Size,200.0
Closing Price,90.0
Day Change $,1.48
Day Change %,0.0167
Day High,90.37
Day Low,88.04
Dividend Pay Date,2022-11-07 00:00:00
"EPS (TTM, GAAP)",3.54
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.533
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,66.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.41
Prev Close,88.52
Shares Outstanding,734.3M
Short Interest,0.027999999999999997
Today's Open,88.27
Volume,1452087.0
Volume 10-day Avg,5404295.0
Volume Past Day,(Light)
