,BX
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,1.294930875576037
Growth 1yr High Est,1.3060344827586206
Growth 1yr Consensus Est,1.3004826791673287
Growth 2yr Low Est,0.5711602169044843
Growth 2yr High Est,0.7371293909120206
Growth 2yr Consensus Est,0.6541448039082525
Growth 5yr Low Est,0.28558010845224213
Growth 5yr High Est,0.3685646954560103
Growth 5yr Consensus Est,0.32707240195412624
Growth 5yr Actual/Est,0.2673922910046742
Growth 3yr Historic,0.23679653679653673
