,ESE
Price/Earnings (TTM),30.3239
Price/Sales (TTM),2.89337
Price/Book (MRQ),2.36708
Price/Cash Flow (TTM),18.98832
5yr Low,54.35
5yr High,115.84
5yr Avg Return,0.07965
EPS Growth 5yr,0.0885819
Revenue Growth 5yr,0.0457193
Dividend Growth 5yr,-0.0559125
Short Int Current Month,331183.0
Short Int Prev Month,401181.0
Short Int Pct of Float,0.013002499999999998
Days to Cover,5.53013
Float,25.46076
Shares Outstanding,25.85257
Institutions Holding Shares,253.0
% Held by Institutions,0.967648
FCF Growth 5yr,2.848418162114429
