,ESE
% Below High,0.0074
% Held by Institutions,0.9676
52-Wk Range,['60.03 - 96.69']
Annual Dividend $,0.32
Annual Dividend %,0.0033
Ask,153.48
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,53.84
Bid Size,100.0
Closing Price,95.97
Day Change $,1.36
Day Change %,0.0144
Day High,96.1
Day Low,94.86
Dividend Pay Date,2023-01-20 00:00:00
"EPS (TTM, GAAP)",3.16
Ex-dividend,2023-01-04 00:00:00
Ex-dividend Date,01/04/23
Historical Volatility,0.324
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,2.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.32
Prev Close,94.61
Shares Outstanding,25.9M
Short Interest,0.013000000000000001
Today's Open,94.86
Volume,43726.0
Volume 10-day Avg,81921.0
Volume Past Day,(Light)
