,HLF
% Above Low,0.1076
% Held by Institutions,0.9788
52-Wk Range,['15.33 - 45.80']
Annual Dividend $,
Annual Dividend %,
Ask,19.0
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.1
Bid,15.76
Bid Size,200.0
Closing Price,16.98
Day Change $,0.13
Day Change %,0.0077
Day High,17.05
Day Low,16.59
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.04
Ex-dividend Date,No dividend
Historical Volatility,0.54
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,1.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",5.58
Prev Close,16.85
Shares Outstanding,97.9M
Short Interest,0.059500000000000004
Today's Open,16.81
Volume,329560.0
Volume 10-day Avg,955394.0
Volume Past Day,(Light)
