,HLF
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.2799145299145298
Growth 1yr High Est,-0.25
Growth 1yr Consensus Est,-0.2649572649572649
Growth 2yr Low Est,-0.298710974156078
Growth 2yr High Est,-0.06499999999999995
Growth 2yr Consensus Est,-0.18185548707803897
Growth 5yr Low Est,0.01641809782762141
Growth 5yr High Est,0.13573308270676698
Growth 5yr Consensus Est,0.0760755902671942
Growth 5yr Actual/Est,0.07273355636088236
Growth 3yr Historic,0.15167698954330827
