,HLF
Price/Earnings (TTM),5.58189
Price/Sales (TTM),0.31115
Price/Book (MRQ),
Price/Cash Flow (TTM),3.95917
5yr Low,15.33
5yr High,61.77
5yr Avg Return,-0.031166666666666686
EPS Growth 5yr,0.2228882
Revenue Growth 5yr,0.052711100000000004
Dividend Growth 5yr,
Short Int Current Month,5723969.0
Short Int Prev Month,5678627.0
Short Int Pct of Float,0.0594505
Days to Cover,3.38413
Float,96.62224
Shares Outstanding,97.88342
Institutions Holding Shares,284.0
% Held by Institutions,0.978762
FCF Growth 5yr,0.0668041542399052
