,ATRC
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.04672897196261694
Growth 1yr High Est,0.16129032258064524
Growth 1yr Consensus Est,0.10400964727163109
Growth 2yr Low Est,-0.012349799732977285
Growth 2yr High Est,-0.11842891278375145
Growth 2yr Consensus Est,-0.06538935625836437
Growth 5yr Low Est,0.006080002094295683
Growth 5yr High Est,-0.03886561918257336
Growth 5yr Consensus Est,-0.01639280854413884
Growth 5yr Actual/Est,-1.070199767536777
Growth 3yr Historic,-0.5065425531914893
