,ATRC
% Above Low,0.4097
% Held by Institutions,0.9836
52-Wk Range,['32.51 - 77.00']
Annual Dividend $,
Annual Dividend %,
Ask,46.22
Ask Size,2100.0
B/A Ratio,0.047619047619047616
B/A Size,100x2100
Beta,1.3
Bid,45.44
Bid Size,100.0
Closing Price,45.83
Day Change $,0.45
Day Change %,0.009899999999999999
Day High,45.88
Day Low,45.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.23
Ex-dividend Date,No dividend
Historical Volatility,0.536
Last (size),83.0
Last (time),12:59p ET 11/25/22
Market Cap,2.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,45.38
Shares Outstanding,46.5M
Short Interest,0.0292
Today's Open,45.12
Volume,77272.0
Volume 10-day Avg,235231.0
Volume Past Day,(Light)
