,ATRC
Price/Earnings (TTM),
Price/Sales (TTM),6.7544
Price/Book (MRQ),4.72673
Price/Cash Flow (TTM),
5yr Low,14.88
5yr High,89.18
5yr Avg Return,0.2272
EPS Growth 5yr,
Revenue Growth 5yr,0.120797
Dividend Growth 5yr,
Short Int Current Month,1318127.0
Short Int Prev Month,1207562.0
Short Int Pct of Float,0.029156
Days to Cover,3.1972
Float,45.20029
Shares Outstanding,46.50836
Institutions Holding Shares,286.0
% Held by Institutions,0.983575
FCF Growth 5yr,0.14550399900888508
