,WNC
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.2883435582822087
Growth 1yr High Est,0.2721893491124261
Growth 1yr Consensus Est,0.2802664536973174
Growth 2yr Low Est,0.12036225533158051
Growth 2yr High Est,0.23144351176551536
Growth 2yr Consensus Est,0.17590288354854794
Growth 5yr Low Est,0.06018112766579026
Growth 5yr High Est,0.11572175588275768
Growth 5yr Consensus Est,0.08795144177427397
Growth 5yr Actual/Est,1.1910442318152599
Growth 3yr Historic,0.4564814814814816
