,WNC
% Below High,0.0216
% Held by Institutions,1.0053
52-Wk Range,['12.23 - 25.97']
Annual Dividend $,0.32
Annual Dividend %,0.0125
Ask,28.98
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,1.7
Bid,25.01
Bid Size,100.0
Closing Price,25.41
Day Change $,-0.27
Day Change %,-0.0105
Day High,25.97
Day Low,25.19
Dividend Pay Date,2023-01-26 00:00:00
"EPS (TTM, GAAP)",0.92
Ex-dividend,2023-01-04 00:00:00
Ex-dividend Date,01/04/23
Historical Volatility,0.467
Last (size),9.0
Last (time),7:00p ET 11/28/22
Market Cap,1.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.98
Prev Close,25.68
Shares Outstanding,47.9M
Short Interest,0.0803
Today's Open,25.32
Volume,450356.0
Volume 10-day Avg,496604.0
Volume Past Day,(Average)
