,VIST
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,10.25925925925926
Growth 1yr High Est,2.4215686274509807
Growth 1yr Consensus Est,6.34041394335512
Growth 2yr Low Est,5.206932261208577
Growth 2yr High Est,1.2924462048429688
Growth 2yr Consensus Est,3.249689233025773
Growth 5yr Low Est,5.206932261208577
Growth 5yr High Est,1.2924462048429688
Growth 5yr Consensus Est,3.249689233025773
Growth 5yr Actual/Est,1.387166682335285
Growth 3yr Historic,0.10510541546093422
