,BY
% Above Low,0.11320000000000001
% Held by Institutions,0.4841
52-Wk Range,['20.15 - 29.15']
Annual Dividend $,0.36
Annual Dividend %,0.016
Ask,35.98
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,9.0
Bid Size,200.0
Closing Price,22.43
Day Change $,-0.06
Day Change %,-0.0027
Day High,22.58
Day Low,22.41
Dividend Pay Date,2022-11-22 00:00:00
"EPS (TTM, GAAP)",2.18
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.266
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,841.0M
"P/E Ratio (TTM, GAAP)",10.31
Prev Close,22.49
Shares Outstanding,37.5M
Short Interest,0.0339
Today's Open,22.58
Volume,89536.0
Volume 10-day Avg,85560.0
Volume Past Day,(Average)
