,BY
Price/Earnings (TTM),10.31212
Price/Sales (TTM),2.66393
Price/Book (MRQ),1.12413
Price/Cash Flow (TTM),8.98835
5yr Low,8.13
5yr High,29.15
5yr Avg Return,0.07239999999999999
EPS Growth 5yr,0.0040131
Revenue Growth 5yr,0.2040539
Dividend Growth 5yr,
Short Int Current Month,751319.0
Short Int Prev Month,767881.0
Short Int Pct of Float,0.033886
Days to Cover,9.17776
Float,22.18296
Shares Outstanding,37.47775
Institutions Holding Shares,178.0
% Held by Institutions,0.48414
FCF Growth 5yr,0.37607085346215774
