,TMP
% Below High,0.0461
% Held by Institutions,0.6395000000000001
52-Wk Range,['68.50 - 86.42']
Annual Dividend $,2.4
Annual Dividend %,0.0286
Ask,131.82
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.7
Bid,32.96
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,82.44
Day Change $,-1.57
Day Change %,-0.0187
Day High,84.19
Day Low,81.95
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",5.86
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.251
Last (size),107.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,1.2B
"P/E Ratio (TTM, GAAP)",14.33
Prev Close,84.01
Shares Outstanding,14.5M
Short Interest,0.0255
Today's Open,84.19
Volume,24921.0
Volume 10-day Avg,31424.0
Volume Past Day,(Light)
