,TMP
Price/Earnings (TTM),14.33454
Price/Sales (TTM),3.93051
Price/Book (MRQ),2.11604
Price/Cash Flow (TTM),12.59777
5yr Low,53.32
5yr High,93.66
5yr Avg Return,-0.0022666666666666677
EPS Growth 5yr,0.0911942
Revenue Growth 5yr,0.0354532
Dividend Growth 5yr,0.043504100000000004
Short Int Current Month,333304.0
Short Int Prev Month,362721.0
Short Int Pct of Float,0.0254957
Days to Cover,9.27442
Float,13.14232
Shares Outstanding,14.48376
Institutions Holding Shares,212.0
% Held by Institutions,0.639457
FCF Growth 5yr,0.2607503872177386
