,ENFN
Price/Earnings (TTM),
Price/Sales (TTM),10.15094
Price/Book (MRQ),23.32634
Price/Cash Flow (TTM),
5yr Low,7.8
5yr High,23.21
5yr Avg Return,-0.177
Short Int Current Month,1836885.0
Short Int Prev Month,2127709.0
Short Int Pct of Float,0.06519269999999999
Days to Cover,4.64679
Float,20.93477
Shares Outstanding,114.0552
Institutions Holding Shares,96.0
% Held by Institutions,1.078189
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
