,ENFN
% Above Low,0.6167
% Held by Institutions,1.0781999999999998
52-Wk Range,['7.80 - 21.74']
Annual Dividend $,
Annual Dividend %,
Ask,13.4
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,7.9
Bid Size,100.0
Closing Price,12.61
Day Change $,-0.09
Day Change %,-0.0070999999999999995
Day High,12.76
Day Low,12.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-28.67
Ex-dividend Date,No dividend
Historical Volatility,0.7220000000000001
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,869.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,12.7
Shares Outstanding,69.0M
Short Interest,0.0652
Today's Open,12.57
Volume,42387.0
Volume 10-day Avg,398082.0
Volume Past Day,(Light)
