,JJSF
% Below High,0.0233
% Held by Institutions,0.7736
52-Wk Range,['117.45 - 165.78']
Annual Dividend $,2.8
Annual Dividend %,0.0173
Ask,260.12
Ask Size,200.0
B/A Ratio,3.5
B/A Size,700x200
Beta,0.5
Bid,136.74
Bid Size,700.0
Closing Price,161.91
Day Change $,1.5
Day Change %,0.009399999999999999
Day High,163.71
Day Low,159.99
Dividend Pay Date,2023-01-10 00:00:00
"EPS (TTM, GAAP)",2.46
Ex-dividend,2022-12-16 00:00:00
Ex-dividend Date,12/16/22
Historical Volatility,0.29
Last (size),29.0
Last (time),1:00p ET 11/25/22
Market Cap,3.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",65.89
Prev Close,160.41
Shares Outstanding,19.2M
Short Interest,0.058899999999999994
Today's Open,160.8
Volume,37542.0
Volume 10-day Avg,95353.0
Volume Past Day,(Light)
