,JJSF
Price/Earnings (TTM),65.88751
Price/Sales (TTM),2.25406
Price/Book (MRQ),3.60503
Price/Cash Flow (TTM),30.98321
5yr Low,105.67
5yr High,196.84
5yr Avg Return,0.0218
EPS Growth 5yr,-0.1019042
Revenue Growth 5yr,0.04952619999999999
Dividend Growth 5yr,0.0894215
Short Int Current Month,914061.0
Short Int Prev Month,959786.0
Short Int Pct of Float,0.0589219
Days to Cover,11.67368
Float,15.53195
Shares Outstanding,19.22103
Institutions Holding Shares,292.0
% Held by Institutions,0.773581
FCF Growth 5yr,1.6573957142920568
