,UAL
Price/Earnings (TTM),
Price/Sales (TTM),0.3564
Price/Book (MRQ),2.9649
Price/Cash Flow (TTM),8.54746
5yr Low,17.8
5yr High,97.85
5yr Avg Return,-0.021333333333333333
EPS Growth 5yr,
Revenue Growth 5yr,-0.075918
Dividend Growth 5yr,
Short Int Current Month,18332340.0
Short Int Prev Month,17835592.0
Short Int Pct of Float,0.056279199999999995
Days to Cover,2.34695
Float,325.8942
Shares Outstanding,326.9278
Institutions Holding Shares,671.0
% Held by Institutions,0.579965
FCF Growth 5yr,-8.679699779799261
