,UAL
% Below High,0.19010000000000002
% Held by Institutions,0.58
52-Wk Range,['30.54 - 53.12']
Annual Dividend $,
Annual Dividend %,
Ask,43.17
Ask Size,400.0
B/A Ratio,0.75
B/A Size,300x400
Beta,1.3
Bid,43.02
Bid Size,300.0
Closing Price,43.02
Day Change $,-1.4
Day Change %,-0.0315
Day High,43.96
Day Low,42.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.38
Ex-dividend Date,No dividend
Historical Volatility,0.562
Last (size),10.0
Last (time),4:00p ET 11/28/22
Market Cap,14.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,44.42
Shares Outstanding,326.9M
Short Interest,0.056299999999999996
Today's Open,43.93
Volume,6025272.0
Volume 10-day Avg,4916470.0
Volume Past Day,(Heavy Day)
