,UAL
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-1.1284170375079465
Growth 1yr High Est,-1.1941666666666666
Growth 1yr Consensus Est,-1.1612918520873066
Growth 2yr Low Est,-0.40084218212030986
Growth 2yr High Est,0.7333887696709583
Growth 2yr Consensus Est,0.16627329377532424
Growth 5yr Low Est,-1.1692000758916854
Growth 5yr High Est,-0.4976194708566568
Growth 5yr Consensus Est,-0.8334097733741711
Growth 5yr Actual/Est,-0.8321593784813491
Growth 3yr Historic,-0.9455861880057853
