,OSTK
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.7857142857142858
Growth 1yr High Est,-0.7198275862068966
Growth 1yr Consensus Est,-0.7527709359605912
Growth 2yr Low Est,-0.8095238095238095
Growth 2yr High Est,-0.2368368700265252
Growth 2yr Consensus Est,-0.5231803397751673
Growth 5yr Low Est,-0.8095238095238095
Growth 5yr High Est,-0.2368368700265252
Growth 5yr Consensus Est,-0.5231803397751673
Growth 5yr Actual/Est,-0.35053848415646505
Growth 3yr Historic,-0.1480631176580272
