,OSTK
% Above Low,0.2129
% Held by Institutions,0.6118
52-Wk Range,['21.04 - 93.80']
Annual Dividend $,
Annual Dividend %,
Ask,25.56
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,3.3
Bid,25.46
Bid Size,200.0
Day Change $,0.13
Day Change %,0.0051
Day High,25.79
Day Low,25.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.25
Ex-dividend Date,No dividend
Historical Volatility,0.797
Last (size),100.0
Last (time),9:45a ET 11/28/22
Market Cap,1.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",102.23
Prev Close,25.39
Price,25.52
Shares Outstanding,45.7M
Short Interest,0.0915
Today's Open,25.28
Volume Past Day,(Average)
