,NGVT
Price/Earnings (TTM),13.49305
Price/Sales (TTM),1.80782
Price/Book (MRQ),4.6205
Price/Cash Flow (TTM),8.82245
5yr Low,24.92
5yr High,120.41
5yr Avg Return,0.005850000000000003
EPS Growth 5yr,0.2876864
Revenue Growth 5yr,0.0890574
Dividend Growth 5yr,
Short Int Current Month,711236.0
Short Int Prev Month,845317.0
Short Int Pct of Float,0.0191976
Days to Cover,4.29851
Float,37.05261
Shares Outstanding,37.37163
Institutions Holding Shares,368.0
% Held by Institutions,0.919355
FCF Growth 5yr,-6.120292067966486
