,NGVT
% Below High,0.0174
% Held by Institutions,0.9194
52-Wk Range,['56.31 - 79.79']
Annual Dividend $,
Annual Dividend %,
Ask,80.0
Ask Size,500.0
B/A Ratio,2.0
B/A Size,1000x500
Beta,1.8
Bid,62.0
Bid Size,1000.0
Closing Price,78.4
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.81
Ex-dividend Date,No dividend
Historical Volatility,0.38200000000000006
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.49
Prev Close,78.4
Shares Outstanding,37.4M
Short Interest,0.0192
Today's Open,
Volume,41944.0
Volume 10-day Avg,130759.0
Volume Past Day,(Light)
