,BPOP
Price/Earnings (TTM),5.2411
Price/Sales (TTM),1.73751
Price/Book (MRQ),1.4325
Price/Cash Flow (TTM),4.70018
5yr Low,23.69
5yr High,99.49
5yr Avg Return,0.1435833333333333
EPS Growth 5yr,0.4111087
Revenue Growth 5yr,0.0536449
Dividend Growth 5yr,0.238732
Short Int Current Month,1345668.0
Short Int Prev Month,1661674.0
Short Int Pct of Float,0.0188699
Days to Cover,2.42957
Float,71.507
Shares Outstanding,72.69443
Institutions Holding Shares,421.0
% Held by Institutions,0.88164
FCF Growth 5yr,0.4417984668305593
