,BPOP
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.2422018348623851
Growth 1yr High Est,0.2290748898678414
Growth 1yr Consensus Est,0.23563836236511326
Growth 2yr Low Est,-0.035472199260092485
Growth 2yr High Est,-0.011985852557118704
Growth 2yr Consensus Est,-0.023729025908605594
Growth 5yr Low Est,0.1432744584393354
Growth 5yr High Est,0.15464383204271415
Growth 5yr Consensus Est,0.14895914524102477
Growth 5yr Actual/Est,0.1832349425966493
Growth 3yr Historic,0.2013743760152134
