,BPOP
% Above Low,0.09970000000000001
% Held by Institutions,0.8815999999999999
52-Wk Range,['65.47 - 99.49']
Annual Dividend $,2.2
Annual Dividend %,0.030600000000000002
Ask,72.4
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,0.9
Bid,71.59
Bid Size,600.0
Closing Price,72.0
Day Change $,0.67
Day Change %,0.009399999999999999
Day High,72.19
Day Low,71.32
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",13.74
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.33799999999999997
Last (size),13.0
Last (time),12:59p ET 11/25/22
Market Cap,5.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.24
Prev Close,71.33
Shares Outstanding,72.7M
Short Interest,0.0189
Today's Open,71.75
Volume,147340.0
Volume 10-day Avg,401475.0
Volume Past Day,(Light)
