,CDNA
Price/Earnings (TTM),
Price/Sales (TTM),2.14903
Price/Book (MRQ),1.56766
Price/Cash Flow (TTM),
5yr Low,4.92
5yr High,99.83
5yr Avg Return,0.5839666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.48800109999999997
Dividend Growth 5yr,
Short Int Current Month,4584911.0
Short Int Prev Month,4828742.0
Short Int Pct of Float,0.0877904
Days to Cover,3.31637
Float,52.23889
Shares Outstanding,53.53729
Institutions Holding Shares,252.0
% Held by Institutions,0.995891
FCF Growth 5yr,0.14280868160757607
