,CDNA
% Above Low,0.073
% Held by Institutions,0.9959
52-Wk Range,['11.92 - 47.82']
Annual Dividend $,
Annual Dividend %,
Ask,13.35
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,12.79
Bid Size,100.0
Closing Price,12.79
Day Change $,0.08
Day Change %,0.0063
Day High,12.86
Day Low,12.32
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.4
Ex-dividend Date,No dividend
Historical Volatility,0.846
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,684.7M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,12.71
Shares Outstanding,53.5M
Short Interest,0.08779999999999999
Today's Open,12.56
Volume,313310.0
Volume 10-day Avg,1311930.0
Volume Past Day,(Light)
