,BOH
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.10367892976588633
Growth 1yr High Est,-0.11092985318107662
Growth 1yr Consensus Est,-0.10730439147348148
Growth 2yr Low Est,-0.11807080816652527
Growth 2yr High Est,0.004168100932397445
Growth 2yr Consensus Est,-0.05695135361706391
Growth 5yr Low Est,0.010135367673716034
Growth 5yr High Est,0.063410482820556
Growth 5yr Consensus Est,0.03677292524713602
Growth 5yr Actual/Est,0.05769289904155517
Growth 3yr Historic,0.07835389719312633
