,BOH
Price/Earnings (TTM),14.98537
Price/Sales (TTM),4.83786
Price/Book (MRQ),3.00671
Price/Cash Flow (TTM),13.7118
5yr Low,46.7
5yr High,99.1
5yr Avg Return,0.02313333333333334
EPS Growth 5yr,0.0811634
Revenue Growth 5yr,0.028397899999999997
Dividend Growth 5yr,0.0771043
Short Int Current Month,1921097.0
Short Int Prev Month,1963285.0
Short Int Pct of Float,0.0489536
Days to Cover,11.33003
Float,39.2387
Shares Outstanding,40.01283
Institutions Holding Shares,382.0
% Held by Institutions,0.751887
FCF Growth 5yr,0.937314949723886
