,BOH
% Below High,0.1033
% Held by Institutions,0.7519
52-Wk Range,['70.15 - 92.38']
Annual Dividend $,2.8
Annual Dividend %,0.0338
Ask,95.0
Ask Size,1400.0
B/A Ratio,1.2857142857142858
B/A Size,1800x1400
Beta,1.0
Bid,62.0
Bid Size,1800.0
Closing Price,82.84
Day Change $,1.26
Day Change %,0.0154
Day High,82.87
Day Low,81.68
Dividend Pay Date,2022-12-14 00:00:00
"EPS (TTM, GAAP)",5.53
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.268
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,3.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.99
Prev Close,81.58
Shares Outstanding,40.0M
Short Interest,0.049
Today's Open,81.89
Volume,77461.0
Volume 10-day Avg,167281.0
Volume Past Day,(Light)
