,SYK
% Above Low,0.20320000000000002
% Held by Institutions,0.7767000000000001
52-Wk Range,['188.84 - 280.43']
Annual Dividend $,2.78
Annual Dividend %,0.011899999999999999
Ask,227.26
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,1.0
Bid,227.16
Bid Size,400.0
Day Change $,-5.53
Day Change %,-0.023799999999999998
Day High,233.5
Day Low,226.59
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",6.43
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.316
Last (size),100.0
Last (time),3:52p ET 11/28/22
Market Cap,85.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",36.2
Prev Close,232.74
Price,227.21
Shares Outstanding,378.4M
Short Interest,0.0106
Today's Open,230.65
Volume Past Day,(Light)
