,SYK
Price/Earnings (TTM),36.20024
Price/Sales (TTM),4.90689
Price/Book (MRQ),5.3495
Price/Cash Flow (TTM),25.6014
5yr Low,124.54
5yr High,281.16
5yr Avg Return,0.07383333333333333
EPS Growth 5yr,0.0369041
Revenue Growth 5yr,0.086006
Dividend Growth 5yr,0.1120476
Short Int Current Month,3921823.0
Short Int Prev Month,5035469.0
Short Int Pct of Float,0.0105542
Days to Cover,1.97743
Float,371.6308
Shares Outstanding,378.4
Institutions Holding Shares,1968.0
% Held by Institutions,0.7767069999999999
FCF Growth 5yr,1.7412632545467508
