,FATE
Price/Earnings (TTM),
Price/Sales (TTM),27.92068
Price/Book (MRQ),3.71764
Price/Cash Flow (TTM),
5yr Low,3.8
5yr High,121.16
5yr Avg Return,0.7816666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.6621431
Dividend Growth 5yr,
Short Int Current Month,22122976.0
Short Int Prev Month,22233440.0
Short Int Pct of Float,0.231299
Days to Cover,13.1845
Float,95.66909
Shares Outstanding,97.17044
Institutions Holding Shares,329.0
% Held by Institutions,1.104063
FCF Growth 5yr,0.2196072123879164
