,FATE
% Above Low,0.15960000000000002
% Held by Institutions,1.1040999999999999
52-Wk Range,['17.10 - 66.56']
Annual Dividend $,
Annual Dividend %,
Ask,20.99
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,18.88
Bid Size,100.0
Closing Price,19.83
Day Change $,0.18
Day Change %,0.0092
Day High,19.99
Day Low,19.15
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.05
Ex-dividend Date,No dividend
Historical Volatility,0.8270000000000001
Last (size),39.0
Last (time),1:00p ET 11/25/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,19.65
Shares Outstanding,97.2M
Short Interest,0.23129999999999998
Today's Open,19.42
Volume,333978.0
Volume 10-day Avg,1196725.0
Volume Past Day,(Light)
