,FTDR
Price/Earnings (TTM),28.25067
Price/Sales (TTM),1.16425
Price/Book (MRQ),41.14412
Price/Cash Flow (TTM),18.77498
5yr Low,19.71
5yr High,58.94
5yr Avg Return,0.028240000000000025
EPS Growth 5yr,0.0040333999999999995
Revenue Growth 5yr,0.09449170000000001
Dividend Growth 5yr,
Short Int Current Month,5787518.0
Short Int Prev Month,5689895.0
Short Int Pct of Float,0.0712792
Days to Cover,5.59233
Float,81.20183
Shares Outstanding,81.49276
Institutions Holding Shares,295.0
% Held by Institutions,1.105289
FCF Growth 5yr,-0.037631958684590315
