,FTDR
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.4390243902439024
Growth 1yr High Est,-0.45959595959595956
Growth 1yr Consensus Est,-0.44931017491993097
Growth 2yr Low Est,-0.18146871686108168
Growth 2yr High Est,0.13468800151043148
Growth 2yr Consensus Est,-0.023390357675325102
Growth 5yr Low Est,-0.10862212875119709
Growth 5yr High Est,0.09730297076087502
Growth 5yr Consensus Est,-0.005659578995161035
Growth 5yr Actual/Est,-0.030883365036317667
Growth 3yr Historic,0.008786078098471983
